18:28:30 09.11 |             UnityAPI |I| FreezeFrameController - CurrentUploadState:Empty
18:28:44 09.11 |             UnityAPI |I| [MsalClient] AcquireTokenSilently
18:28:45 09.11 |             UnityAPI |I| AadTokenResultCallback.OnSuccess - TenantId - f8cdef31-a31e-4b4a-93e4-5f571e91255a, DataBoundaries - , ExpiresOn - 11.09.2024 17:46:54, Time now - 11.09.2024 16:28:45
18:28:45 09.11 |             UnityAPI |I| Brokered auth has been disabled
18:28:45 09.11 |             UnityAPI |I| Brokered auth has been enabled
18:28:45 09.11 |             UnityAPI |I| Authentication took 12,58799 seconds
18:28:45 09.11 |             UnityAPI |I| [MsalClient] Clearing account cache
18:28:45 09.11 |             UnityAPI |I| [MsalClient] Clearing account cache
18:28:48 09.11 |             UnityAPI |I| Changing UIState from Welcome to Identity
18:28:48 09.11 |             UnityAPI |I| ARManager: EnableAR set to False
18:28:55 09.11 |             UnityAPI |I| EnforceECSMinVersion - ECS config PASS: 2024.8.19 | 2024.8.19
